molecule_chembl_id,molecule_name,formula,total_assays,median_IC50_uM,Active,Inactive
CHEMBL410609,"4'-chloro-2,2':6,2''-Terpyridineplatinum (II) complex",C50H32Cl2N12O12Pt2+8,5,2.15,5,0
CHEMBL6739,Platinum complex,C25H27B2F8N5O2Pt+4,5,22.0,5,0
CHEMBL264844,Platinum complex,C56H36Cl2N12O12Pt2+8,5,3.1,5,0
CHEMBL407341,Platinum complex,C44H28Cl2N12O12Pt2+8,5,1.3,5,0
CHEMBL96737,Platinum complex,C32H25N8O3Pt2S+7,5,4.8,5,0
CHEMBL94699,"4-Mercaptopyridine (4'-chloro-2,2':6',2''-terpyridine)platinum (II) Nitrate",C20H14ClN5O3PtS+3,5,7.4,5,0
CHEMBL2146196,"cis-Dichloro[(2S,3R,4S)-2-aminomethyl-3,4-(O-isopropylidene)dihydrxypyrrolidine]platinum (II)",C8H16Cl2N2O2Pt,5,6.2,5,0
CHEMBL2146208,"cis-Dichloro[(2S,3R,4S)-2-aminomethyl-3,4-dihydroxypyrrolidine]platinum (II)",C5H12Cl2N2O2Pt,5,14.8,5,0
CHEMBL1627579,Cisplatin complex,C33H48Cl2N2O3Pt+2,4,5.0,4,0
CHEMBL361029,camphorato platinum complex derivative,C17H32N2O4Pt,4,81.76,2,2
CHEMBL441000,camphorato platinum complex derivative,C17H30N2O4Pt,4,2.6,4,0
CHEMBL440148,"3-(7a-Chloro-7-diisopropylamino-hexahydro-6-oxa-1,3a-diaza-platinum-7lambda*5*-phospha-inden-7-yloxy)-propionitrile",C13H29Cl2N4O2PPt,4,182.5,0,4
CHEMBL369881,camphorato platinum complex derivative,C18H30N2O6Pt,4,2.93,4,0
CHEMBL414804,OXALIPLATIN,C8H12N2O4Pt,4,3.55,4,0
CHEMBL611189,Platinum complex,C12H34Cl6N6Pt3+4,4,49.0,3,1
CHEMBL611190,Pt(II) Complex,C14H38Cl6N6Pt3+4,4,27.5,4,0
CHEMBL1628045,Cisplatin complex,C34H50Cl2N2O3Pt+2,4,13.7,4,0
CHEMBL1627580,Cisplatin complex,C31H44Cl2N2O3Pt+2,4,4.55,4,0
CHEMBL35604,Platinum complex,C10H18N2O5Pt,4,5.1,4,0
CHEMBL1627945,Cisplatin complex,C30H42Cl2N2O3Pt+2,4,23.25,4,0
CHEMBL1627949,Cisplatin complex,C29H40Cl2N2O3Pt+2,4,21.45,4,0
CHEMBL1627581,Cisplatin complex,C28H38Cl2N2O3Pt+2,4,40.0,4,0
CHEMBL1628046,Cisplatin complex,C32H46Cl2N2O3Pt+2,4,10.850000000000001,4,0
CHEMBL1627577,Cisplatin complex,C35H52Cl2N2O3Pt+2,4,3.75,4,0
CHEMBL2068571,Platinum complex,C10H18N2O5Pt,4,6.15,4,0
CHEMBL2068487,Platinum complex,C11H20N2O5Pt,4,6.55,4,0
CHEMBL2068388,Platinum complex,C10H18N2O5Pt,4,5.199999999999999,4,0
CHEMBL2068569,Platinum complex,C11H20N2O5Pt,4,4.1,4,0
CHEMBL186466,camphorato platinum complex derivative,C10H18N2O4Pt,4,28.675,3,1
CHEMBL175793,camphorato platinum complex derivative,C18H30N2O6Pt,4,1.7449999999999999,4,0
CHEMBL2068390,Platinum complex,C11H20N2O5Pt,4,6.7,4,0
CHEMBL191157,camphorato platinum complex derivative,C16H30N2O4Pt,4,87.225,2,2
CHEMBL177002,camphorato platinum complex,C17H30N2O4Pt,4,4.9350000000000005,4,0
CHEMBL187664,camphorato platinum complex derivative,C11H20N2O4Pt,4,14.260000000000002,4,0
CHEMBL117991,Platinum complex III,C19H24ClN3O3PtS+2,4,0.43,4,0
CHEMBL611446,Platinum complex,C8H22Cl6N6Pt3,4,40.0,3,1
CHEMBL2068560,Acridinecarboxamide-Pt(II) complex,C19H20Cl2N4OPt,3,0.4,3,0
CHEMBL175535,Cis-Platinum (II) Conjugate,C9H18N2O4Pt+2,3,176.03,1,2
CHEMBL2068318,Acridinecarboxamide-Pt(II) complex,C22H26Cl2N4OPt,3,0.05,3,0
CHEMBL177971,Cis-Platinum (II) Conjugate,C6H16Cl2N2Pt+2,3,27.24,2,1
CHEMBL177567,Cis-Platinum (II) Conjugate,C5H8N2O4Pt,3,8.84,3,0
CHEMBL196628,trans-[Pt(OAc)2(py)2],C14H16N2O4Pt,3,14.0,3,0
CHEMBL177920,Cis-Platinum (II) Conjugate,C8H12N2O4Pt,3,9.21,3,0
CHEMBL197200,Cisplatin derivative,C20H37N5O13Pt,3,119.0,1,2
CHEMBL176766,Cis-Platinum (II) Conjugate,C12H18N2O4Pt,3,2.5,3,0
CHEMBL2068311,Acridinecarboxamide-Pt(II) complex,C19H21Cl2N5OPt,3,0.58,3,0
CHEMBL197201,Cisplatin derivative,C10H19N3O9Pt,3,614.0,0,3
CHEMBL194376,trans-[Pt(OAc)2(NH3)(quin)],C13H16N2O4Pt,3,17.0,3,0
CHEMBL179236,Cis-Platinum (II) Conjugate,C6H14Cl2N2Pt+2,3,38.86,2,1
CHEMBL147203,Platinum complex,C10H21N3O8P2Pt+,3,52.4,2,1
CHEMBL370881,trans-[Pt(OAc)2(NH3)(iquin)],C13H16N2O4Pt,3,20.0,3,0
CHEMBL368607,Cis-Platinum (II) Conjugate,C9H16N2O4Pt+2,3,167.86,1,2
CHEMBL98789,"1,10-Phenanthrolineplatinum (II) Benzoylthiourea Complex",C24H28ClN4O3PtS+,3,0.824,3,0
CHEMBL608255,9-acridinylmethylamino-methylaminomethanethione1-PtCl(en),C17H20ClN5PtS,3,100.0,1,2
CHEMBL368608,Cis-Platinum (II) Conjugate,C12H20N2O4Pt+2,3,167.52,1,2
CHEMBL608256,2-(9-acridiniumylamino)ethyl(methyl)amino(imino)methyl(methyl)amine1-PtCl(en),C19H25ClN6PtS,3,3.8,3,0
CHEMBL435547,Cis-Platinum (II) Conjugate,C9H14N2O4Pt,3,4.4,3,0
CHEMBL317496,"1,10-Phenanthrolineplatinum (II) Benzoylthiourea Complex",C25H26ClN4O3PtS+,3,0.488,2,1
CHEMBL319607,"1,10-Phenanthrolineplatinum (II) Benzoylthiourea Complex",C22H24ClN4O3PtS+,3,0.336,2,1
CHEMBL317892,"1,10-Phenanthrolineplatinum (II) Benzoylthiourea Complex",C30H40ClN4O3PtS+,3,0.141,3,0
CHEMBL2068507,2-(2-Amino-ethylamino)-N-(7-{2-[N'-(5-nitro-furan-2-carbonyl)-hydrazino]-2-oxo-ethyl}-naphthalen-2-yl)-acetamide; compound with GENERIC INORGANIC NEUTRAL COMPONENT,C21H20Cl2N6O6Pt,3,27.6,3,0
CHEMBL175844,Cis-Platinum (II) Conjugate,C12H22N2O4Pt+2,3,135.9,1,2
CHEMBL175505,Cis-Platinum (II) Conjugate,C6H12Cl2N2Pt,3,8.0,3,0
CHEMBL2068457,Platinum complex,C27H30Cl2N4Pt,2,11.7,2,0
CHEMBL2068332,PLATUNUMDIAMMONIUM,H8N4Pt,2,2.3,2,0
CHEMBL2068444,triphenylethylene platinum (II) complex,C32H40Cl2N2O2Pt,2,42.5,2,0
CHEMBL2068452,Dichlorodi(4-hydroxybutylamine)platinum (II),C8H20Cl2N2O2Pt,2,12.25,2,0
CHEMBL2068453,DICHLORO(AMMINO ETHYLAMMINO ETHANOL) PLATINUM(II),C4H10Cl2N2OPt,2,16.45,2,0
CHEMBL2068454,Dichlorodi(3-hydroxypropylamine)platinum (II),C6H16Cl2N2O2Pt,2,10.6,2,0
CHEMBL2068455,Acridinecarboxamide-Pt(II) complex,C19H20Cl2N4OPt,2,7.5,2,0
