molecule_chembl_id,molecule_name,formula,target_pref_name,assay_description,standard_relation,standard_value,standard_units,pchembl_value
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,16600.0,nM,4.78
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,41M,In vitro antitumor activity against 41M cell line.,=,3500.0,nM,5.46
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,3200.0,nM,5.50
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,570.0,nM,6.24
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,2000.0,nM,5.70
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,420.0,nM,6.38
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,3000.0,nM,5.52
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,41M,In vitro antitumor activity against 41M cell line.,=,1300.0,nM,5.89
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,1900.0,nM,5.72
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,1100.0,nM,5.96
