molecule_chembl_id,molecule_name,formula,target_pref_name,assay_description,standard_relation,IC50_uM,pchembl_value,standard_units
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,>,50.0,,nM
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,41M,In vitro antitumor activity against 41M cell line.,>,50.0,,nM
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,41M,In vitro antitumor activity against 41McisR cell line.,>,50.0,,nM
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,CH1,In vitro antitumor activity against CH1 cell line.,>,50.0,,nM
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,>,50.0,,nM
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,A2780,In vitro antitumor activity against A2780 cell line.,>,50.0,,nM
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,>,50.0,,nM
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,>,50.0,,nM
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,2.0,5.70,nM
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,2.1,5.68,nM
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,41M,In vitro antitumor activity against 41M cell line.,=,0.26,6.58,nM
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,0.066,7.18,nM
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,0.38,6.42,nM
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,0.083,7.08,nM
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,4.1,5.39,nM
