Molecule,Density of all electrons_N_4(N),Density of Alpha electrons_N_4(N),Density of Beta electrons_N_4(N),Lagrangian kinetic energy G(r)_N_4(N),Hamiltonian kinetic energy K(r)_N_4(N),Potential energy density V(r)_N_4(N),Energy density E(r) or H(r)_N_4(N),Laplacian of electron density_N_4(N),Electron localization function (ELF)_N_4(N),Localized orbital locator (LOL)_N_4(N),Local information entropy_N_4(N),Sign(lambda2)*rho_N_4(N),Sign(lambda2)*rho with promolecular approximation_N_4(N),Average local ionization energy (ALIE)_N_4(N),Delta-g (under promolecular approximation)_N_4(N),Delta-g (under Hirshfeld partition)_N_4(N),ESP from nuclear charges_N_4(N),ESP from electrons_N_4(N),Total ESP_N_4(N)
CHEMBL611190-conf_1,0.1954665125E+03,0.9773325627E+02,0.9773325627E+02,0.1870087868E+02,0.3673204106E+06,-0.3673391115E+06,-0.3673204106E+06,-0.1469206839E+07,0.9999990212E+00,0.9990116517E+00,-0.8792604117E+00,-0.1931622915E+03,-0.1931622915E+03,0.1400692581E+02,0.5026915079E-01,0.7159821038E-01,0.2161100457E+07,-0.3835889153E+02,0.2161062098E+07
CHEMBL611190-conf_10,0.1954527648E+03,0.9772638238E+02,0.9772638238E+02,0.1872020663E+02,0.3672943625E+06,-0.3673130827E+06,-0.3672943625E+06,-0.1469102569E+07,0.9999990190E+00,0.9990105153E+00,-0.8790800595E+00,-0.1931625495E+03,-0.1931625495E+03,0.1400801983E+02,0.5046311261E-01,0.7201635952E-01,0.2179010924E+07,-0.3848851830E+02,0.2178972436E+07
CHEMBL611190-conf_2,0.1954541868E+03,0.9772709342E+02,0.9772709342E+02,0.1871710542E+02,0.3672992191E+06,-0.3673179362E+06,-0.3672992191E+06,-0.1469122008E+07,0.9999990193E+00,0.9990106911E+00,-0.8790987148E+00,-0.1931625018E+03,-0.1931625018E+03,0.1400926872E+02,0.5049120162E-01,0.7206470886E-01,0.2175809027E+07,-0.3842586811E+02,0.2175770602E+07
CHEMBL611190-conf_3,0.1954742752E+03,0.9773713762E+02,0.9773713762E+02,0.1870906930E+02,0.3673394078E+06,-0.3673581169E+06,-0.3673394078E+06,-0.1469282795E+07,0.9999990205E+00,0.9990112846E+00,-0.8793622516E+00,-0.1931623068E+03,-0.1931623068E+03,0.1400282905E+02,0.5022426939E-01,0.7155262385E-01,0.2153748675E+07,-0.3860334466E+02,0.2153710072E+07
CHEMBL611190-conf_4,0.1954726834E+03,0.9773634169E+02,0.9773634169E+02,0.1870952901E+02,0.3673368138E+06,-0.3673555233E+06,-0.3673368138E+06,-0.1469272417E+07,0.9999990204E+00,0.9990112469E+00,-0.8793413677E+00,-0.1931623232E+03,-0.1931623232E+03,0.1400336532E+02,0.5012974335E-01,0.7139350643E-01,0.2165085294E+07,-0.3856749100E+02,0.2165046727E+07
CHEMBL611190-conf_5,0.1954646134E+03,0.9773230669E+02,0.9773230669E+02,0.1870812834E+02,0.3673155672E+06,-0.3673342753E+06,-0.3673155672E+06,-0.1469187436E+07,0.9999990204E+00,0.9990112529E+00,-0.8792354970E+00,-0.1931625317E+03,-0.1931625317E+03,0.1400645647E+02,0.5055562899E-01,0.7210087176E-01,0.2189896709E+07,-0.3826025423E+02,0.2189858449E+07
CHEMBL611190-conf_6,0.1954664884E+03,0.9773324421E+02,0.9773324421E+02,0.1870325631E+02,0.3673182606E+06,-0.3673369639E+06,-0.3673182606E+06,-0.1469198229E+07,0.9999990210E+00,0.9990115259E+00,-0.8792600955E+00,-0.1931624937E+03,-0.1931624937E+03,0.1400165744E+02,0.5034290696E-01,0.7169749602E-01,0.2213232673E+07,-0.3852577076E+02,0.2213194147E+07
CHEMBL611190-conf_7,0.1954651061E+03,0.9773255303E+02,0.9773255303E+02,0.1871020443E+02,0.3673145772E+06,-0.3673332874E+06,-0.3673145772E+06,-0.1469183468E+07,0.9999990202E+00,0.9990111474E+00,-0.8792419602E+00,-0.1931625772E+03,-0.1931625772E+03,0.1400120036E+02,0.5034769917E-01,0.7172492955E-01,0.2223810760E+07,-0.3854062400E+02,0.2223772219E+07
CHEMBL611190-conf_8,0.1954622451E+03,0.9773112253E+02,0.9773112253E+02,0.1870400508E+02,0.3673100075E+06,-0.3673287115E+06,-0.3673100075E+06,-0.1469165214E+07,0.9999990208E+00,0.9990114507E+00,-0.8792044274E+00,-0.1931627561E+03,-0.1931627561E+03,0.1400146301E+02,0.5089023766E-01,0.7258272896E-01,0.2236851618E+07,-0.3844786313E+02,0.2236813170E+07
CHEMBL611190-conf_9,0.1954675309E+03,0.9773376547E+02,0.9773376547E+02,0.1870408807E+02,0.3673243070E+06,-0.3673430110E+06,-0.3673243070E+06,-0.1469222411E+07,0.9999990209E+00,0.9990114908E+00,-0.8792737722E+00,-0.1931621820E+03,-0.1931621820E+03,0.1400821629E+02,0.5019593173E-01,0.7139995468E-01,0.2127625721E+07,-0.3848997487E+02,0.2127587231E+07
carboplatin,0.1954154965E+03,0.9770774826E+02,0.9770774826E+02,0.1867969220E+02,0.3672084743E+06,-0.3672271540E+06,-0.3672084743E+06,-0.1468759178E+07,0.9999990226E+00,0.9990123411E+00,-0.9711961250E+00,-0.1931597356E+03,-0.1931597356E+03,0.1389647764E+02,0.5391418377E-01,0.7521521824E-01,0.1641690247E+07,-0.3442256973E+02,0.1641655825E+07
carboplatin-conf_1,0.1954155201E+03,0.9770776006E+02,0.9770776006E+02,0.1867958420E+02,0.3672085162E+06,-0.3672271957E+06,-0.3672085162E+06,-0.1468759346E+07,0.9999990226E+00,0.9990123470E+00,-0.9711964530E+00,-0.1931597342E+03,-0.1931597342E+03,0.1389646991E+02,0.5391539193E-01,0.7521682392E-01,0.1641532540E+07,-0.3442268543E+02,0.1641498117E+07
cisplatin,0.1954405360E+03,0.9772026801E+02,0.9772026801E+02,0.1864371636E+02,0.3672569762E+06,-0.3672756200E+06,-0.3672569762E+06,-0.1468953330E+07,0.9999990268E+00,0.9990144517E+00,-0.2710624649E+01,-0.1931598560E+03,-0.1931598560E+03,0.1388919401E+02,0.5376448907E-01,0.7505276425E-01,0.1664418695E+07,-0.3095575048E+02,0.1664387740E+07
cisplatin-conf_1,0.1954401334E+03,0.9772006670E+02,0.9772006670E+02,0.1864459658E+02,0.3672562933E+06,-0.3672749379E+06,-0.3672562933E+06,-0.1468950595E+07,0.9999990267E+00,0.9990144018E+00,-0.2710613473E+01,-0.1931598734E+03,-0.1931598734E+03,0.1388923235E+02,0.5375799763E-01,0.7504562790E-01,0.1666849396E+07,-0.3095417753E+02,0.1666818441E+07
