Molecule,4(N)_q(N)_Hirshfeld,4(N)_q(N+1)_Hirshfeld,4(N)_q(N-1)_Hirshfeld,4(N)_f-_Hirshfeld,4(N)_f+_Hirshfeld,4(N)_CDD_Hirshfeld,4(N)_f0_Hirshfeld,4(N)_f+f-_Hirshfeld,4(N)_q(N)/f+_Hirshfeld,4(N)_q(N)/CDD_Hirshfeld,4(N)_q(N)/f-_Hirshfeld,4(N)_q(N+1)/f+_Hirshfeld,4(N)_q(N+1)/CDD_Hirshfeld,4(N)_q(N+1)/f-_Hirshfeld,4(N)_q(N-1)/f+_Hirshfeld,4(N)_q(N-1)/CDD_Hirshfeld,4(N)_q(N-1)/f-_Hirshfeld
CHEMBL611190-conf_3,-0.0730938749,-0.095061196,-0.0612428645,0.0118510103999999,0.0219673211,0.0101163107,0.01690916575,0.0002603349508162,-3.3273913813733063,-7.225348950581352,-6.167733588352942,-4.327391381373306,-9.39682447673339,-8.021357908858139,-2.78790773900965,-6.053873424429315,-5.167733588352942
CHEMBL611190-conf_4,-0.0729949347,-0.0984209498,-0.0613488102,0.0116461245,0.0254260151,0.0137798906,0.0185360698,0.0002961145373934,-2.8708759281748395,-5.297207127319282,-6.267744664759508,-3.87087592817484,-7.142360752849516,-8.450961502257682,-2.412836221433692,-4.452053501789048,-5.267744664759508
CHEMBL611190-conf_5,-0.0749332122,-0.0946315839,-0.0639293489,0.0110038633,0.0196983716999999,0.0086945083999999,0.0153511174999999,0.0002167581894193,-3.804030776817965,-8.61845302259988,-6.809718564933464,-4.8040307768179655,-10.884063772944316,-8.599850917813564,-3.245412863236813,-7.352842272255443,-5.809718564933464
CHEMBL611190-conf_6,-0.0755368876,-0.1010722096,-0.0633078953,0.0122289923,0.025535322,0.0133063296999999,0.01888215715,0.000312271256116,-2.9581333495618347,-5.676763563133419,-6.17686934024809,-3.9581333495618343,-7.595799283404202,-8.264966329237117,-2.4792283919505698,-4.757727842862636,-5.17686934024809
CHEMBL611190-conf_7,-0.0754146792,-0.099834821,-0.0629228263,0.0124918529,0.0244201418,0.0119282889,0.01845599735,0.0003050528191627,-3.088216269079977,-6.322338420223876,-6.037109130543795,-4.088216269079977,-8.36958442547447,-7.991994606340584,-2.5766773516442067,-5.275092414973282,-5.037109130543795
CHEMBL611190-conf_8,-0.074812193,-0.0968081928,-0.0622300941,0.0125820988999999,0.0219959998,0.0094139009,0.01728904935,0.0002767558448879,-3.401172653220337,-7.946991772560511,-5.9459231400573405,-4.401172653220337,-10.283536424310563,-7.694121113608478,-2.829155058457493,-6.61044712081046,-4.9459231400573405
CHEMBL611190-conf_9,-0.0730491055,-0.0976157543,-0.0628063407,0.0102427647999999,0.0245666487999999,0.0143238839999999,0.0174047067999999,0.0002516304055826,-2.9735071354136027,-5.099811301180604,-7.13177612942943,-3.9735071354136022,-6.814894221427654,-9.530215347715494,-2.5565693233665643,-4.384728380933553,-6.13177612942943
carboplatin,-0.1220239088,-0.1548982579,,,0.0328743491,,,,-3.711827371207176,,,-4.711827371207176,,,,,
carboplatin-conf_1,-0.1220404444,-0.1549079483,-0.1016642218,0.0203762226,0.0328675038999999,0.0124912812999999,0.0266218632499999,0.0006697155757727,-3.7131035192483854,-9.770050122880528,-5.989355671840764,-4.713103519248387,-12.401285711178426,-7.602387907756756,-3.093153106768173,-8.138814534582629,-4.989355671840764
cisplatin,-0.1230841404,-0.1573021495,-0.094388618,0.0286955224,0.0342180090999999,0.0055224866999999,0.03145676575,0.0009819036466124,-3.597057328504832,-22.287811105095177,-4.289315199921225,-4.597057328504833,-28.48393451087904,-5.481766364357944,-2.758448562105269,-17.09168769931131,-3.289315199921224
cisplatin-conf_1,-0.123105484,-0.1573127459,-0.0943768992,0.0287285847999999,0.0342072618999999,0.0054786770999999,0.0314679233499999,0.0009827262242699,-3.598811397412665,-22.469928735168587,-4.285121764856305,-4.598811397412665,-28.7136370749063,-5.475826498073793,-2.7589726262188794,-17.226220395430875,-3.2851217648563047
cisplatin-conf_2,-0.1231731314,-0.1573764871,-0.0944471383,0.0287259931,0.0342033556999999,0.0054773625999999,0.0314646743999999,0.000982525359835,-3.601200200365136,-22.48767160311792,-4.287863294097916,-4.601200200365136,-28.73216520301215,-5.4785394730182535,-2.761341288509888,-17.243178003223687,-3.287863294097916
imifoplatin,-0.0712497772,-0.0836292047,-0.0589401666,0.0123096106,0.0123794274999999,6.981689999999846e-05,0.0123445190499999,0.0001523859319759,-5.755498564049106,-1020.5233575252064,-5.7881422504136735,-6.755498564049106,-1197.836121340275,-6.793813989534324,-4.761138315968167,-844.2105937101376,-4.7881422504136735
imifoplatin-conf_1,-0.0718868128,-0.0853124977,-0.0616578183,0.0102289945,0.0134256848999999,0.0031966903999999,0.0118273397,0.0001373312570008,-5.354424249894321,-22.48788709723036,-7.027749677644266,-6.354424249894321,-26.68775734428338,-8.340262349344304,-4.592526843826047,-19.288016850177332,-6.027749677644266
imifoplatin-conf_2,-0.071890015,-0.0853177198,-0.0616642488,0.0102257662,0.0134277047999999,0.0032019385999999,0.0118267354999999,0.0001373085698874,-5.353857272763401,-22.45202796830648,-7.030281505947203,-6.353857272763401,-26.64564517258392,-8.343406071615446,-4.592314898075509,-19.258410764029044,-6.030281505947203
imifoplatin-conf_3,-0.0742397911,-0.0873202759,-0.0587687487,0.0154710423999999,0.0130804848,-0.0023905575999999,0.0142757635999999,0.0002023687349533,-5.675614645414365,-31.055428699982016,-4.798628895232038,-6.675614645414365,-36.52715830817051,-5.644110696768565,-4.492857076673488,-24.583699091793523,-3.7986288952320377
iproplatin,-0.0679462849,-0.1047881821,-0.0597357112,0.0082105737,0.0368418972,0.0286313235,0.02252623545,0.0003024931122084,-1.8442667197931384,-2.373145094043592,-8.275461299373026,-2.844266719793138,-3.6599140134056327,-12.762589549619411,-1.621407032208971,-2.086376174681551,-7.275461299373026
iproplatin-conf_1,-0.0672296515,-0.0877015908,-0.0589834659,0.0082461856,0.0204719393,0.0122257537,0.01435906245,0.0001688154110597,-3.283990369197704,-5.499018968458361,-8.152818134483896,-4.283990369197704,-7.173511993784072,-10.635413153931433,-2.881186048651481,-4.824525943132651,-7.152818134483896
iproplatin-conf_10,-0.065146474,-0.0835040445,-0.0590514251,0.0060950488999999,0.0183575705,0.0122625216,0.0122263097,0.0001118902898826,-3.5487524887892974,-5.312649072112539,-10.688425157671832,-4.548752488789297,-6.809696017171538,-13.700307556187129,-3.216734213277296,-4.815602127053539,-9.688425157671832
iproplatin-conf_2,-0.0693571488,-0.1073677023,-0.0586546425,0.0107025063,0.0380105535,0.0273080471999999,0.0243565299,0.0004068081883002,-1.8246813690834571,-2.539806244365947,-6.480458581930475,-2.824681369083457,-3.931723916897288,-10.032014865527335,-1.543114664194511,-2.147888571834606,-5.480458581930475
iproplatin-conf_3,-0.0634223426,-0.0998742513,-0.0574148206,0.006007522,0.0364519086999999,0.0304443866999999,0.0212297153499999,0.0002189856434572,-1.7398908551529433,-2.0832195841212338,-10.557155279664393,-2.739890855152943,-3.280547323359285,-16.624866509019853,-1.5750840668598516,-1.885891844883182,-9.557155279664393
